dataset,method,mode,repetition,accuracy
EthanolLevel,NN,pretrained-small,7,0.472
EthanolLevel,SVM,pretrained-small,8,0.29
EthanolLevel,NN,pretrained-small,8,0.472
EthanolLevel,SVM,pretrained-small,9,0.29
EthanolLevel,NN,pretrained-small,9,0.478
EthanolLevel,SVM,pretrained-small,10,0.29
EthanolLevel,NN,pretrained-small,10,0.476
FaceFour,SVM,fine-tune,1,0.3977272727272727
FaceFour,NN,fine-tune,1,0.5909090909090909
FaceFour,SVM,fine-tune,2,0.3977272727272727
FaceFour,NN,fine-tune,2,0.5795454545454546
FaceFour,SVM,fine-tune,3,0.3977272727272727
FaceFour,NN,fine-tune,3,0.5227272727272727
FaceFour,SVM,fine-tune,4,0.3977272727272727
FaceFour,NN,fine-tune,4,0.5340909090909091
FaceFour,SVM,fine-tune,5,0.3977272727272727
FaceFour,NN,fine-tune,5,0.5340909090909091
FaceFour,SVM,fine-tune,6,0.3977272727272727
FaceFour,NN,fine-tune,6,0.5681818181818182
FaceFour,SVM,fine-tune,7,0.3977272727272727
FaceFour,NN,fine-tune,7,0.5681818181818182
FaceFour,SVM,fine-tune,8,0.3977272727272727
FaceFour,NN,fine-tune,8,0.5681818181818182
FaceFour,SVM,fine-tune,9,0.3977272727272727
FaceFour,NN,fine-tune,9,0.5681818181818182
FaceFour,SVM,fine-tune,10,0.3977272727272727
FaceFour,NN,fine-tune,10,0.5681818181818182
FaceFour,SVM,pretrained-small,1,0.3977272727272727
FaceFour,NN,pretrained-small,1,0.4318181818181818
FaceFour,SVM,pretrained-small,2,0.3977272727272727
FaceFour,NN,pretrained-small,2,0.45454545454545453
FaceFour,SVM,pretrained-small,3,0.3977272727272727
FaceFour,NN,pretrained-small,3,0.375
FaceFour,SVM,pretrained-small,4,0.3977272727272727
FaceFour,NN,pretrained-small,4,0.42045454545454547
FaceFour,SVM,pretrained-small,5,0.3977272727272727
FaceFour,NN,pretrained-small,5,0.4659090909090909
FaceFour,SVM,pretrained-small,6,0.3977272727272727
FaceFour,NN,pretrained-small,6,0.45454545454545453
FaceFour,SVM,pretrained-small,7,0.3977272727272727
FaceFour,NN,pretrained-small,7,0.45454545454545453
